word,phonetic,translation,part_of_speech
boat,,小船；轮船 v. 划船,n
group,,组；团体 adj. 群的；团体的 v. 聚合,n
nineteen,,十九,num
party,,政党；党派；聚会；派对；当事人 [复数 parties] v. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ],n
marriage,,结婚；婚姻生活；密切结合；合并,n
clean,,清洁的；干净的；清白的 v. 使干净 adv. 完全地 n. 打扫,adj
bottle,,瓶子；一瓶的容量 v. 控制；把…装入瓶中,n
tail,,尾巴；踪迹；辫子；燕尾服 v. 尾随；装上尾巴 adj. 从后面而来的；尾部的,n
very,,恰好是；正是；甚至；十足的；特有的 adv. 非常；很；完全 n. (Very)人名；(英)维里,adj
bag,,袋；猎获物；（俚）一瓶啤酒 v. 猎获；把…装入袋中；占据；私吞；使膨大,n
tuesday,,星期二,n
cancel,,取消；删去 n. 取消；撤销,v
map,,映射；计划；绘制地图；确定基因在染色体中的位置 n. 地图；示意图；染色体图,v
grandparent,,祖父母；祖父或祖母；外祖父母；外祖父或外祖母,n
moon,,月亮；月球；月光；卫星 v. 闲荡；出神,n
be,,是；有；存在；做；成为；发生 n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝,v
america,,美洲（包括北美和南美洲）；美国,n
need,,需要；要求；缺乏；必要之物 v. 需要,n
new,,新的；新鲜的；更新的；初见的 adv. 新近 n. (New)人名；(英)纽,adj
stamp,,邮票；印记；标志；跺脚 v. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏,n
without,,没有；超过；在…外面 adv. 户外；在外面；没有或不显示某事物 n. 外部；外面,prep
quick,,核心；伤口的嫩肉 adj. 快的；迅速的；敏捷的；灵敏的 adv. 迅速地；快,n
joke,,玩笑；笑话；笑柄 v. 开…的玩笑,n
table,,桌子；表格；平地层 v. 制表；搁置；嵌合 adj. 桌子的,n
its,,它的 n. (Its)人名；(俄)伊茨,pron
check,,检查；核对；制止；抑制；在…上打勾 n. <美>支票；制止；抑制；检验；核对,v
giraffe,,长颈鹿,n
picture,,照片；图画；影片；景色；化身 v. 画；想像；描写,n
kiss,,吻；（风等）轻拂 n. 吻；轻拂,v
several,,几个的；各自的 pron. 几个；数个,adj
monitor,,监视器；监听器；监控器；显示屏；班长 v. 监控,n
culture,,文化；文明；修养；栽培 v. [细胞][微] 培养（等于cultivate）,n
taxi,,乘出租车；滑行 n. 出租汽车,v
health,,健康；卫生；保健；兴旺,n
dialogue,,对话；意见交换 vi. 对话 vt. 用对话表达,n
recent,,最近的；近代的,adj
ten,,十个；十 n. (Ten)人名；(英)坦恩；(意)泰恩；(柬)登,num
blue,,蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌） adj. 蓝色的；沮丧的；忧郁的；下流的 v. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于,n
dark,,黑暗的；深色的；模糊的；无知的；忧郁的 n. 黑暗；夜；黄昏；模糊,adj
order,,命令；顺序；规则；[贸易] 定单 v. 命令；整理；定购,n
egg,,蛋；卵子；家伙；鸡蛋 v. 煽动；怂恿,n
feeling,,感觉；触觉；感情；情绪；同情 adj. 有感觉的；有同情心的；富于感情的 v. 感觉；认为（feel的现在分词）；触摸,n
at,,在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） abbr. 密封的（airtight）；气温（air temperature）,prep
if,,（表条件）如果；即使；是否；（表假设）假如 n. 条件；设想,conj
piece,,块；件；篇；硬币 v. 修补；接合；凑合,n
he,,男孩；男人；它（雄性动物） pron. 他,n
