word,phonetic,translation,part_of_speech
emperor,,n. 皇帝；君主,n
exact,,a. 精确的；准确的,a
traditional,,a. 传统的，惯例的；口传的，传说的,a
lack,,n./vt. 缺乏，不足，没有,n
pardon,,excl.（用于请求别人重复某事）什么，请再说一遍 n./vt. 原谅，宽恕；赦免,
regent,,n. 摄政者（代国王统治者）,n
burgeon,,vi. 迅速成长；发展,v
argue,,v. 争论；说服,v
barely,,ad. 仅仅，几乎不；赤裸裸地，无遮蔽地,ad
methane,,n. 甲烷，沼气,n
hierarchy,,n. 领导层；层次，等级,n
guidance,,n. 指引，指导,n
easy-going,,a. 脾气随和的，心平气和的；随便的,a
electrical,,a. 电的，电学的，有关电的,a
electronic,,a. 电子的,a
philosophy,,n. 哲学；哲理,n
chronic,,a. （疾病）慢性的；积习难改的,a
desirable,,a. 值得拥有的；合意的；可取的，有利的,a
consortium,,n. 集团；财团；社团，协会,n
buckle,,n. 皮带扣环 v. 扣紧；（使）变形；弯曲,n
curry,,n. 咖喱，咖喱饭菜  vt. 把（肉、蔬菜等）做成咖喱食品；梳刷（马毛等）,n
subliminal,,a. 下意识的，潜意识的,a
chamber,,n. 室；洞穴；（枪）膛,n
frequent,,a. 频繁的，常见的，常用的,a
prosperous,,a. 繁荣的，兴旺的；成功的,a
purpose,,n. 目的，意图；用途，效果  v. 打算，企图，决心,n
variety,,n. 品种，种类；变化，多样化,n
immigration,,n. 外来的移民；移居,n
natural,,a. 正常的，普通的，自然的；自然界的，天然的；天赋的，固有的,a
bet,,v. 赌，打赌  n. 打赌，赌注,v
consumer,,n. 消费者；用户,n
physician,,n. 内科医生，医师,n
equal,,a. 相等的  vt. 比得上,a
resort,,n. 求助；诉诸；胜地  vi. 求助；诉诸,n
leadership,,n. 领导，领导层；领导能力,n
equity,,n. 公平，公正,n
excavate,,vt. 挖掘，开凿,v
nuclear,,a. 核能的，原子能的,a
mutual,,a. 相互的；共同的,a
hectare,,n. 公顷,n
density,,n. 密集；浓度，密度,n
massive,,a. 大而重的，厚实的，粗大的；大量的，大规模的,a
congratulate,,vt. 祝贺,v
companion,,n. 共事者；同伴,n
rig,,vt. 操纵，垄断  n. 船桅（或船帆等）的装置；成套器械,v
input,,n. 投入，输入；输入的数据  vt. 把……输入计算机,n
merely,,ad. 仅仅，只不过,ad
impart,,vt. 给予，赋予；传授；告知，透露,v
forfeit,,v. （因犯规等而）丧失，失去  n. 罚款；代价,v
calorie,,n. 卡（路里）， 大卡（食物的热量）,n
van,,n. 运货车,n
ventilation,,n. 空气流通；通风设备，通风方法,n
intermediate,,a. 中间的，中级的,a
eternal,,a. 永恒的,a
invasion,,n. 入侵，侵略,n
