word,phonetic,translation,part_of_speech
consistent,,一致的,adj
battery,,电池,n
competent,,能胜任的；有能力的,adj
preserve,,保存；保护,v
possession,,拥有,n
proximately,,近似；接近,adv
wildfire,,野火,n
compact,,紧密的；紧凑的,adj
defy,,违背；违抗,v
absolutely,,当然,adv
filter,,过滤,v
server,,服务器,n
spoil,,溺爱,v
rustle,,发出沙沙声,v
diversion,,转移；娱乐,n
complaint,,抱怨；投诉,n
merge,,合并,v
priceless,,无价的；难以用价格衡量的,adj
honorary,,荣誉的,adj
chronic,,长期的；慢性的,adj
extracurricular,,课外的,adj
lobby,,游说,n
inexhaustible,,用不完的；无穷无尽的,adj
inevitable,,不可避免的,adj
contamination,,污染,n
suspend,,暂停,v
imminent,,即将来临的,adj
obesity,,肥胖,n
aid,,援助；有助于,v
solution,,解决；解决方法；溶液,n
tuition,,学费,n
esteem,,尊重,v
purchase,,购买,n
incorporate,,合并,v
prevail,,流行；普遍,v
irrational,,不合理的；不理性的,adj
inherent,,固有的,adj
overexcited,,过于激烈的,adj
preference,,偏爱,n
evolution,,演变；发展；进化,n
exotic,,异域的；外国的,adj
stockbroker,,股票经理人,n
misinterpret,,误解,v
prosperity,,繁荣,n
tank,,水箱,n
outdated,,过时的,adj
outnumber,,超过,v
supervisor,,督导,n
fluctuate,,波动,v
substance,,物质,n
profitable,,有利可图的；有利益的,adj
markedly,,显著地,adv
ineffective,,无效的,adj
bleak,,荒凉的,adj
optimistic,,乐观的,adj
ultimate,,最终的,adj
consumption,,消耗；消费,n
foster,,促进；培养,v
receipt,,发票,n
harsh,,严酷的；严峻的,adj
misfortune,,不幸；灾祸；灾难,n
citation,,引文,n
rape,,强奸,n
ecological,,生态学的,adj
lag,,落后,v
controversy,,争议,n
cornerstone,,基石,n
erect,,建立,v
prematurely,,早熟地；过早地,adv
initiative,,主动性,n
dilute,,稀释；冲淡,v
viewpoint,,观点,n
typical,,典型的,adj
stray,,走失[流浪]的动物,n
imbalance,,不平衡,n
affiliation,,隶属关系；单位团体,n
counterpart,,对等物,n
classify,,分类,v
demonstration,,展示；游行,n
outlive,,比……活的时间长,v
reservation,,预定,n
circumstance,,情况；环境,n
revolutionize,,革命化,v
outweigh,,超过,v
cast,,投掷；扔,v
uncertain,,不确定的,adj
threat,,威胁,n
conservative,,保守的,adj
overestimate,,高估,v
documentary,,纪录片,n
relieve,,减轻；缓解,v
regardless,,不管；不顾,adv
pause,,暂停；迟疑,n
launch,,发布；推出,v
apartment,,公寓,n
spark,,火花,n
eliminate,,消除,v
unintentionally,,无意地,adv
opposition,,反对,n
polar,,极地的,adj
integral,,必需的；不可缺少的,adj
guard,,保护,v
branch,,分支；分公司,n
affiliate,,使隶属于,v
irrigation,,灌溉,n
stove,,炉子,n
memorable,,值得纪念的,adj
elimination,,消除；淘汰,n
revenue,,收入,n
decisive,,决定性的,adj
displace,,取代,v
violation,,违反,n
ideological,,意识形态的,adj
neighborhood,,附近,n
calorie,,卡路里,n
fierce,,激烈的,adj
mention,,提及,v
extend,,延伸；延期,v
column,,专栏,n
analytical,,分析的,adj
figure,,数字,n
frighten,,使害怕,v
preindustrial,,工业化以前的,adj
furnish,,提供,v
scarcity,,缺乏,n
transform,,转变,v
misled,,(mislead过去式)误导,v
intervene,,干涉,v
vary,,变化,v
bureaucracy,,官僚主义,n
recruiter,,招聘者,n
pattern,,模式,n
necessity,,必须；必要性,n
deny,,否认,v
drift,,漂流,v
endorsement,,支持,n
dare,,勇敢；敢于做,v
consultancy,,咨询公司,n
constant,,不断的,adj
deposit,,存放 n. 存款,v
transmit,,传播；传导,v
undermine,,削弱,v
resign,,辞职,v
respective,,各自的,adj
consent,,同意,n
reunion,,团聚,n
premium,,〔尤指每年缴付的〕保险费,n
interpretation,,解释；理解,n
concrete,,具体的,adj
facility,,设施,n
convert,,转换；改变,v
prompt,,促使,v
weave,,织布；编织,v
conformity,,一致,n
inaction,,不作为,n
trim,,修剪,v
irony,,讽刺,n
monopolize,,垄断,v
workload,,工作量,n
complicated,,复杂的,adj
property,,财产,n
underrepresented,,未被充分代表的,adj
philosophy,,哲学,n
regime,,制度；管理体制,n
bizarre,,古怪的；奇怪的,adj
ruin,,毁坏,v
inspire,,鼓励,v
deforestation,,砍伐森林,n
exceptional,,例外的,adj
hazard,,危险,n
upgrade,,升级,v
abnormally,,不正常地,adv
accidentally,,偶然地；意外地,adv
frontier,,边境,n
considerable,,相当多的,adj
legalize,,合法化,v
dispensable,,可有可无的,adj
certify,,保证；证明,v
insurer,,保险公司；承保人,n
overstate,,夸张,v
profound,,深刻的；博学的,adj
agony,,痛苦,n
craft,,手艺 v. 精巧地制作,n
obscurity,,默默无闻,n
guarantee,,保证,v
dolphin,,海豚,n
severity,,严重性,n
discourage,,阻止；使气馁,v
fault,,过失,n
robbery,,抢劫,n
inanimate,,无生命的,adj
calculation,,计算,n
baffle,,使迷惑；困惑,v
overcharge,,多收钱,v
nap,,小睡,n
disposal,,处理；支配,n
authorities,,当局,n
chronicle,,记录,v
shade,,为…遮阳[挡光]；遮蔽〔光线〕,v
milestone,,里程碑,n
unstable,,不稳定的,adj
strain,,压力,n
municipal,,市政府的,adj
ideologically,,意识形态上地,adv
greedy,,贪婪的,adj
robust,,强健的,adj
diagnose,,诊断,v
definite,,一定的；确切的,adj
reserved,,保留意见的；矜持的,adj
affection,,喜爱,n
material,,材料,n
conduct,,进行；实行,v
association,,联系,n
collide,,撞击；碰撞,v
industrious,,勤奋的,adj
fascinate,,使着迷,v
prevalence,,流行；普遍,n
exert,,施加,v
minor,,次要的；小的,adj
tempting,,吸引人的,adj
appropriation,,挪用,n
injustice,,不公正,n
irrelevant,,无关的,adj
registration,,注册；登记,n
democracy,,民主,n
grateful,,感激的,adj
offense,,冒犯,n
atmosphere,,气氛；大气（层）,n
approach,,方法,n
rival,,对手,n
commitment,,承诺,n
furious,,生气的；激烈的,adj
accurate,,精确的,adj
abstract,,抽象的,adj
deprivation,,剥夺；匮乏,n
designate,,指定；委派,v
turtle,,海龟,n
expertise,,专业知识,n
vessel,,血管,n
ventilate,,使通风,v
trade-off,,权衡；交易,n
endless,,无限的；没完没了的,adj
temptation,,诱惑,n
legislation,,立法,n
duplication,,复制品,n
trick,,骗局；诡计,n
evaluation,,评价,n
abandonment,,放弃,n
turbulent,,动荡的；骚乱的,adj
expel,,开除；驱逐,v
carpenter,,木匠,n
hasty,,匆忙的,adj
unprecedented,,史无前例的,adj
extreme,,极端的,adj
outperform,,胜过,v
modernize,,现代化,v
interactive,,〔人与计算机程序、电视系统等〕交互的；互动的；合作的；相互交流的,adj
successively,,接连着地；继续地,adv
innovation,,创新；革新；新观念；新方法；新发明,n
elaborately,,复杂地；精心设计地,adv
vegetarian,,素食主义者,n
faculty,,〔大学的〕全体教员,n
render,,给予,v
portray,,描述,v
notion,,想法；观点,n
tropical,,热带的,adj
character,,角色；某物的特色,n
infectious,,感染的；传染的,adj
lawn,,草坪,n
permanent,,永久的,adj
transcend,,超越,v
kidnap,,绑架,v
dominate,,主导；主宰,v
stabilize,,使稳固；使安定,v
consult,,咨询,v
resume,,简历,n
migrate,,移民；迁徙,v
isolation,,隔绝；隔离,n
derive,,获得,v
conservation,,保护,n
incidence,,发生率,n
