word,phonetic,translation,part_of_speech
access,,获取 n. 接近；入口,v
project,,工程；课题、作业,n
intention,,打算；意图,n
equivalence,,等值；相等,n
negotiate,,谈判；协商；交涉,v
disappointing,,令人失望的,adj
alternative,,代替品,n
generous,,慷慨的,adj
biological,,生物的,adj
strategy,,策略；战略,n
paradox,,悖论；自相矛盾,n
primary,,主要的；基本的,adj
standpoint,,立场,n
grab,,抢先；抢占；抢夺,v
crucial,,至关重要的,adj
flaw,,缺点；错误,n
depressed,,萧条的；沮丧的,adj
obstacle,,阻碍,n
automatic,,自动的,adj
passionate,,热情的,adj
gambling,,赌博,n
logic,,逻辑,n
theory,,理论,n
download,,下载,v
signal,,信号 v. 发信号；打信号；示意,n
authoritative,,权威的,adj
smooth,,光滑的,adj
institution,,社会公共机构；制度；设立；制定,n
vehicle,,车辆,n
plague,,使困扰,v
psychological,,心理上的,adj
shade,,阴凉处,n
persistent,,持续的；坚持的,adj
voluntary,,自愿的；主动的,adj
tolerance,,宽容；容忍,n
senior,,老年人,n
individual,,个人,n
contemporary,,当代的；现代的,adj
opposite,,相反的,adj
specialize,,专业从事,v
content,,内容,n
philosopher,,哲学家,n
unrest,,不安定；动荡,n
startle,,吃惊,v
emission,,排放；辐射,n
overweight,,超重的,adj
occupation,,职业；工作,n
mainstream,,主流,n
scholarship,,奖学金,n
contract,,合同,n
cheek,,脸颊,n
interdependence,,相互依靠,n
import,,进口 v. 进口,n
fiction,,小说；虚构的文学作品,n
upbringing,,养育；培养；教养,n
preserve,,保护,v
vitally,,极其重要地,adv
masculine,,男性的,adj
advocate,,倡导 n. 提倡者；拥护者；鼓吹者,v
dust,,灰尘,n
track,,足迹 v. 追踪；〔循着踪迹、气味等〕找寻,n
confidence,,信心,n
riotous,,狂暴的,adj
sophisticated,,复杂的；世故的,adj
similar,,相似的,adj
transform,,改变,v
approve,,赞成；同意,v
session,,开会；会议,n
awareness,,意识,n
exhaust,,使筋疲力尽,v
subsidize,,提供补贴,v
grocery,,杂货店,n
ignorance,,无知；愚昧,n
intelligence,,智力；智慧；理解力,n
tiny,,微小的,adj
praise,,赞扬；赞美,v
memorize,,熟记；牢记,v
relative,,相对的 n. 亲戚,adj
breakthrough,,突破,n
incidence,,几率；发生率,n
scratch,,抓；划痕,n
harmful,,有害的,adj
undergo,,承受,v
recession,,衰退,n
extraordinary,,非凡的,adj
improper,,不合适的；不适当的,adj
marginalize,,边缘化；排斥,v
vital,,重要的,adj
fortunately,,幸运地,adv
commencement,,毕业典礼,n
fetch,,取回,v
clumsy,,笨拙的；不圆滑的,adj
establishment,,确立,n
emit,,发出；排出,v
entertaining,,有趣的；使人愉快的,adj
irregular,,不规律的,adj
psychologist,,心理学家,n
era,,纪元；年代,n
triumph,,胜利,n
detection,,侦查；察觉,n
cozy,,舒适的,adj
gallery,,美术馆,n
enormous,,巨大的,adj
obtain,,获得,v
desert,,抛弃,v
aviate,,驾驶飞机,v
determine,,决定；下决心,v
disappear,,不见；消失,v
entitle,,使具有权利；使具有资格,v
relieve,,解除；减轻；缓解,v
generosity,,慷慨；大方,n
colleague,,同事,n
undertake,,承担,v
convenient,,方便的,adj
preferentially,,优先地,adv
column,,专栏,n
affectionate,,深情的；柔情的,adj
issue,,发表〔声明〕 n. 问题,v
inquire,,询问,v
groundlessly,,无缘无故地；无根据地,adv
independently,,独立地,adv
approach,,靠近 n. 方法,v
administration,,管理；〔某一时期的〕政府,n
adversity,,逆境；不幸,n
technician,,技术员；技师,n
regular,,有规律的；经常的,adj
miscalculation,,算错；误算,n
hinder,,阻碍,v
selection,,选择；挑选,n
tide,,潮水,n
superior,,上级的；较高的 n. 上级；长官,adj
matter,,要紧；重要,v
passively,,消极地,adv
grant,,授予；允许,v
liberation,,解放,n
observe,,遵守,v
